gene_name	ensembl_transcript	refseq_transcript
EPHX4	ENST00000370383	NM_173567.5
FNDC10	ENST00000422725	NM_001242659.2
MMP23B	ENST00000356026	NM_006983.2
SLC35E2B	ENST00000617444	NM_001290264.2
CDK11A	ENST00000404249	NM_024011.4
NADK	ENST00000341426	NM_023018.5
TMEM52	ENST00000310991	NM_178545.4
CD1A	ENST00000289429	NM_001763.3
CD1C	ENST00000368170	NM_001765.3
CD1B	ENST00000368168	NM_001764.3
CD1E	ENST00000368167	NM_030893.4
OR10T2	ENST00000334438	NM_001004475.1
DR1	ENST00000370272	NM_001938.3
MAPKAPK2	ENST00000367103	NM_032960.4
IL24	ENST00000294984	NM_006850.3
FCMR	ENST00000367091	NM_005449.5
PIGR	ENST00000356495	NM_002644.4
FCAMR	ENST00000324852	NM_001170631.2
C1orf116	ENST00000359470	NM_023938.6
PRMT6	ENST00000370078	NM_018137.3
SH3BGRL3	ENST00000270792	NM_031286.4
CD52	ENST00000374213	NM_001803.3
ZNF683	ENST00000349618	NM_001114759.3
TINAGL1	ENST00000271064	NM_022164.3
PEF1	ENST00000373703	NM_012392.4
ORC1	ENST00000371568	NM_004153.4
SDE2	ENST00000272091	NM_152608.4
H3-3A	ENST00000366815	NM_002107.7
ACBD3	ENST00000366812	NM_022735.4
MIXL1	ENST00000366810	NM_031944.3
NVL	ENST00000281701	NM_002533.4
CNIH4	ENST00000465271	NM_014184.4
BMP8A	ENST00000331593	NM_181809.4
HEYL	ENST00000372852	NM_014571.4
HPCAL4	ENST00000372844	NM_016257.4
PABPC4	ENST00000372858	NM_001135653.2
ECM1	ENST00000369047	NM_004425.4
ENSA	ENST00000369014	NM_004436.4
GOLPH3L	ENST00000271732	NM_018178.6
HORMAD1	ENST00000361824	NM_032132.5
MCL1	ENST00000369026	NM_021960.5
WNT3A	ENST00000284523	NM_033131.4
C1orf35	ENST00000272139	NM_024319.4
MRPL55	ENST00000336520	NM_181463.3
GJC2	ENST00000366714	NM_020435.4
IBA57	ENST00000366711	NM_001010867.4
TRIM11	ENST00000284551	NM_145214.3
TRIM17	ENST00000366698	NM_016102.4
PPIH	ENST00000304979	NM_006347.4
YBX1	ENST00000321358	NM_004559.5
CLDN19	ENST00000296387	NM_148960.3
P3H1	ENST00000296388	NM_022356.4
STPG1	ENST00000337248	NM_001199013.2
NIPAL3	ENST00000374399	NM_020448.5
RCAN3	ENST00000374395	NM_013441.4
NCMAP	ENST00000374392	NM_001010980.5
ASH1L	ENST00000392403	NM_018489.3
TXLNA	ENST00000373610	NM_175852.4
IQCC	ENST00000291358	NM_018134.3
FAM167B	ENST00000373582	NM_032648.3
HDAC1	ENST00000373548	NM_004964.3
MARCKSL1	ENST00000329421	NM_023009.7
TSSK3	ENST00000373534	NM_052841.4
SLC16A4	ENST00000369779	NM_004696.3
LAMTOR5	ENST00000602318	NM_001382293.1
YTHDF2	ENST00000373812	NM_016258.3
TMEM200B	ENST00000521452	NM_001003682.4
MECR	ENST00000263702	NM_016011.5
HLX	ENST00000366903	NM_021958.4
MARK1	ENST00000366917	NM_018650.5
C1orf115	ENST00000294889	NM_024709.5
DARS2	ENST00000649689	NM_018122.5
RC3H1	ENST00000367696	NM_172071.4
INKA2	ENST00000357260	NM_019099.5
RAB7B	ENST00000617070	NM_001164522.3
TSTD1	ENST00000423014	NM_001113207.2
USF1	ENST00000368021	NM_007122.5
ARHGAP30	ENST00000368013	NM_001025598.2
NECTIN4	ENST00000368012	NM_030916.3
KLHDC9	ENST00000368011	NM_152366.5
PFDN2	ENST00000368010	NM_012394.4
NIT1	ENST00000368009	NM_005600.3
DEDD	ENST00000368006	NM_032998.3
CTSE	ENST00000358184	NM_001910.4
COQ8A	ENST00000366777	NM_020247.5
AKIRIN1	ENST00000432648	NM_024595.3
NDUFS5	ENST00000372969	NM_004552.3
LRIF1	ENST00000369763	NM_018372.4
DENND2D	ENST00000357640	NM_024901.5
CHI3L2	ENST00000369748	NM_004000.3
DRAM2	ENST00000484310	NM_001349884.2
SHE	ENST00000304760	NM_001010846.3
PLA2G2C	ENST00000679259	NM_001367969.2
ARNT	ENST00000358595	NM_001668.4
PARP1	ENST00000366794	NM_001618.4
NDUFS2	ENST00000676972	NM_001377299.1
PRDX1	ENST00000319248	NM_181697.3
NASP	ENST00000350030	NM_002482.4
CCDC17	ENST00000528266	NM_001114938.3
GPBP1L1	ENST00000355105	NM_021639.5
TMEM69	ENST00000372025	NM_016486.4
SLC39A1	ENST00000356205	NM_001271958.2
SERBP1	ENST00000361219	NM_001018069.2
MIER1	ENST00000401041	NM_001077700.3
SLC45A1	ENST00000471889	NM_001080397.3
KIF17	ENST00000400463	NM_001122819.3
ZNF669	ENST00000448299	NM_001142572.2
UCHL5	ENST00000367454	NM_001199261.3
SMIM1	ENST00000642557	NM_001288583.2
RNF19B	ENST00000235150	NM_001300826.2
GMEB1	ENST00000373816	NM_001319674.2
CC2D1B	ENST00000284376	NM_001330585.2
DAB1	ENST00000371236	NM_001365792.1
LRRC8B	ENST00000330947	NM_001369817.2
BTBD8	ENST00000636805	NM_001376131.1
ZC3H11A	ENST00000367210	NM_001376342.1
CAP1	ENST00000372805	NM_006367.4
EPHB2	ENST00000374630	NM_017449.5
TMCO1	ENST00000367881	NM_019026.6
CDK11B	ENST00000341832	NM_033486.3
ACOT11	ENST00000343744	NM_147161.4
AKR1A1	ENST00000351829	NM_153326.3
KCNT2	ENST00000294725	NM_198503.5
CTSK	ENST00000271651	NM_000396.4
HMGB4	ENST00000681531	NM_001379301.1
TRIM62	ENST00000291416	NM_018207.3
CTSS	ENST00000368985	NM_004079.5
LIN9	ENST00000681046	NM_001366245.2
PRAMEF27	ENST00000436041	NM_001300891.2
HNRNPCL2	ENST00000621994	NM_001136561.3
HNRNPCL4	ENST00000323770	NM_001302551.2
RBMXL1	ENST00000652648	NM_001162536.3
GBP3	ENST00000370481	NM_018284.3
GBP1	ENST00000370473	NM_002053.3
GBP2	ENST00000370466	NM_004120.5
GBP7	ENST00000294671	NM_207398.3
GBP4	ENST00000355754	NM_052941.5
AHDC1	ENST00000673934	NM_001371928.1
FGR	ENST00000374005	NM_005248.3
IFI6	ENST00000361157	NM_002038.4
HNRNPCL3	ENST00000617807	NM_001382358.1
IFI44L	ENST00000370751	NM_006820.4
CYB561D1	ENST00000420578	NM_182580.3
AMIGO1	ENST00000369864	NM_020703.4
GNAT2	ENST00000679935	NM_001377295.2
PTGS2	ENST00000367468	NM_000963.4
DDAH1	ENST00000284031	NM_012137.4
SLC16A1	ENST00000369626	NM_003051.4
NGF	ENST00000369512	NM_002506.3
NOC2L	ENST00000327044	NM_015658.4
PLEKHN1	ENST00000379410	NM_032129.3
HES4	ENST00000304952	NM_021170.4
ISG15	ENST00000649529	NM_005101.4
AGRN	ENST00000379370	NM_198576.4
MRPL37	ENST00000360840	NM_016491.4
SERPINC1	ENST00000367698	NM_000488.4
COG2	ENST00000366669	NM_007357.3
CAPN9	ENST00000271971	NM_006615.3
C1orf198	ENST00000366663	NM_032800.3
IFI44	ENST00000370747	NM_006417.5
TDRD10	ENST00000368482	NM_182499.4
UBE2Q1	ENST00000292211	NM_017582.7
TEX38	ENST00000334122	NM_001145474.4
EFCAB14	ENST00000371933	NM_014774.3
PSEN2	ENST00000366783	NM_000447.3
FCRLA	ENST00000236938	NM_032738.4
DUSP12	ENST00000367943	NM_007240.3
TRAF5	ENST00000261464	NM_001033910.3
SLC30A1	ENST00000367001	NM_021194.3
RD3	ENST00000680073	NM_001164688.2
ATF6	ENST00000367942	NM_007348.4
RABGGTB	ENST00000319942	NM_004582.4
MSH4	ENST00000263187	NM_002440.4
DENND1B	ENST00000620048	NM_001195215.2
CRB1	ENST00000367400	NM_201253.3
MPL	ENST00000372470	NM_005373.3
CDC20	ENST00000310955	NM_001255.3
ELOVL1	ENST00000372458	NM_022821.4
MED8	ENST00000372457	NM_201542.5
AMPD2	ENST00000528667	NM_001368809.2
ASPM	ENST00000367409	NM_018136.5
AKT3	ENST00000673466	NM_005465.7
C1orf174	ENST00000361605	NM_207356.3
IQGAP3	ENST00000361170	NM_178229.5
NAXE	ENST00000368235	NM_144772.3
HAPLN2	ENST00000255039	NM_021817.3
BCAN	ENST00000329117	NM_021948.5
NES	ENST00000368223	NM_006617.2
CRABP2	ENST00000368222	NM_001878.4
ISG20L2	ENST00000368219	NM_001370150.2
METTL25B	ENST00000368216	NM_015997.4
MRPL24	ENST00000361531	NM_145729.3
PRCC	ENST00000271526	NM_005973.5
SH2D2A	ENST00000368199	NM_003975.4
RNF11	ENST00000242719	NM_014372.5
RNF223	ENST00000453464	NM_001205252.2
C1orf159	ENST00000421241	NM_017891.5
TTC39A	ENST00000680483	NM_001297663.2
SAMD11	ENST00000616016	NM_001385641.1
MFSD14A	ENST00000370152	NM_033055.3
SASS6	ENST00000287482	NM_194292.3
DBT	ENST00000370132	NM_001918.5
RTCA	ENST00000370128	NM_003729.4
BRDT	ENST00000399546	NM_207189.4
KHDRBS1	ENST00000327300	NM_006559.3
TMEM39B	ENST00000336294	NM_018056.4
KPNA6	ENST00000373625	NM_012316.5
CCDC28B	ENST00000373602	NM_024296.5
DDX20	ENST00000369702	NM_007204.5
RPL5	ENST00000370321	NM_000969.5
DIPK1A	ENST00000370310	NM_001006605.5
MTF2	ENST00000370298	NM_007358.4
SH2D5	ENST00000444387	NM_001103161.2
ECE1	ENST00000374893	NM_001397.3
SUSD4	ENST00000366878	NM_017982.4
CCDC185	ENST00000366875	NM_152610.3
LRRIQ3	ENST00000354431	NM_001105659.2
TNNI3K	ENST00000326637	NM_015978.3
LRRC53	ENST00000294635	NM_001382280.1
ERICH3	ENST00000326665	NM_001002912.5
CRYZ	ENST00000340866	NM_001889.4
TYW3	ENST00000370867	NM_138467.3
OBSCN	ENST00000680850	NM_001386125.1
H3C13	ENST00000331491	NM_001123375.3
H2AC20	ENST00000331380	NM_003517.3
H2AC21	ENST00000331128	NM_175065.3
BOLA1	ENST00000369152	NM_016074.5
SV2A	ENST00000369146	NM_014849.5
SF3B4	ENST00000271628	NM_005850.5
FCGR1A	ENST00000369168	NM_000566.4
GPR25	ENST00000304244	NM_005298.4
KIF21B	ENST00000461742	NM_001252102.2
TMEM9	ENST00000367330	NM_001288565.2
IGFN1	ENST00000335211	NM_001164586.2
CACNA1S	ENST00000362061	NM_000069.3
SAMD13	ENST00000394834	NM_001134663.2
TMEM81	ENST00000367167	NM_203376.2
MTR	ENST00000366577	NM_000254.3
SRP9	ENST00000304786	NM_003133.6
TMEM63A	ENST00000366835	NM_014698.3
LEFTY1	ENST00000272134	NM_020997.4
LEFTY2	ENST00000366820	NM_003240.5
EPHX1	ENST00000272167	NM_001136018.4
SRM	ENST00000376957	NM_003132.3
EXOSC10	ENST00000376936	NM_001001998.3
SYF2	ENST00000236273	NM_015484.5
RSRP1	ENST00000243189	NM_020317.5
RHD	ENST00000328664	NM_016124.6
TMEM50A	ENST00000374358	NM_014313.4
MACO1	ENST00000374343	NM_018202.6
TSEN15	ENST00000645668	NM_052965.4
LRRC71	ENST00000337428	NM_144702.3
FMN2	ENST00000319653	NM_020066.5
GREM2	ENST00000318160	NM_022469.4
ADAMTSL4	ENST00000271643	NM_019032.6
PTP4A2	ENST00000647444	NM_080391.4
ZFYVE9	ENST00000287727	NM_004799.4
PDPN	ENST00000621990	NM_006474.5
TMCO4	ENST00000294543	NM_181719.7
HYI	ENST00000372430	NM_001190880.3
ADGRB2	ENST00000373658	NM_001364857.2
NTNG1	ENST00000370068	NM_001113226.3
YY1AP1	ENST00000355499	NM_139119.3
ANKRD65	ENST00000537107	NM_001145210.3
SNAP47	ENST00000617596	NM_053052.4
B4GALT2	ENST00000372324	NM_003780.5
OLFML2B	ENST00000294794	NM_015441.3
TTC24	ENST00000368236	NM_001105669.4
IL20	ENST00000367098	NM_018724.4
DNASE2B	ENST00000370665	NM_021233.3
OR2L2	ENST00000641771	NM_001385855.1
OR2L3	ENST00000359959	NM_001004687.2
OR2M4	ENST00000641868	NM_017504.2
TNFRSF14	ENST00000355716	NM_003820.4
PRAMEF9	ENST00000415919	NM_001010890.3
OR2T35	ENST00000641268	NM_001001827.2
OR10K2	ENST00000641042	NM_001004476.2
IRF2BP2	ENST00000366609	NM_182972.3
RBM15	ENST00000369784	NM_022768.5
JMJD4	ENST00000620518	NM_023007.3
KLHDC7A	ENST00000400664	NM_152375.3
MTX1	ENST00000368376	NM_002455.5
ARL8A	ENST00000272217	NM_138795.4
GPR37L1	ENST00000367282	NM_004767.5
SNX27	ENST00000458013	NM_001330723.2
CELF3	ENST00000290583	NM_007185.7
RIIAD1	ENST00000479191	NM_001144956.3
MRPL9	ENST00000368830	NM_031420.4
LINGO4	ENST00000368820	NM_001004432.4
THEM5	ENST00000368817	NM_182578.4
THEM4	ENST00000368814	NM_053055.5
S100A10	ENST00000368811	NM_002966.3
STIL	ENST00000371877	NM_001048166.1
KPLCE	ENST00000368775	NM_001024679.3
LCE1F	ENST00000334371	NM_178354.3
LCE1E	ENST00000368770	NM_178353.2
LCE1D	ENST00000326233	NM_178352.3
NCDN	ENST00000373243	NM_014284.3
TFAP2E	ENST00000373235	NM_178548.4
AMY1A	ENST00000370083	NM_004038.4
AMY1B	ENST00000330330	NM_001008218.2
AMY1C	ENST00000622339	NM_001008219.3
HPDL	ENST00000334815	NM_032756.4
OR2L5	ENST00000355281	NM_001258284.2
SELENON	ENST00000361547	NM_020451.3
MAB21L3	ENST00000369500	NM_152367.3
NFASC	ENST00000339876	NM_001005388.3
NFASC	ENST00000539706	NM_001160331.2
CNTN2	ENST00000331830	NM_005076.5
SYPL2	ENST00000369872	NM_001040709.2
CCSAP	ENST00000284617	NM_145257.5
ACTA1	ENST00000366684	NM_001100.4
ZFP69	ENST00000372706	NM_001320179.2
ZNF684	ENST00000372699	NM_152373.4
TRNAU1AP	ENST00000373830	NM_017846.5
RAB42	ENST00000465518	NM_001193532.3
AMY2A	ENST00000414303	NM_000699.4
CDK18	ENST00000429964	NM_212502.3
GOLT1A	ENST00000308302	NM_198447.2
PLEKHA6	ENST00000272203	NM_014935.5
ZMYM1	ENST00000359858	NM_024772.5
C1orf146	ENST00000370375	NM_001012425.2
GLMN	ENST00000370360	NM_053274.3
RPAP2	ENST00000610020	NM_024813.3
OR10X1	ENST00000623167	NM_001004477.1
OR2T27	ENST00000460972	NM_001001824.2
OR6K3	ENST00000368145	NM_001005327.3
MNDA	ENST00000368141	NM_002432.3
OR14A16	ENST00000641093	NM_001001966.2
OR11L1	ENST00000355784	NM_001001959.1
TRIM58	ENST00000366481	NM_015431.4
OR2W3	ENST00000360358	NM_001001957.2
OR2AJ1	ENST00000318244	NM_001355235.2
OR2L8	ENST00000623922	NM_001001963.1
OR6Y1	ENST00000641622	NM_001005189.2
ZSCAN20	ENST00000684572	NM_001377376.1
OR2T6	ENST00000641644	NM_001005471.2
OR2M5	ENST00000366476	NM_001004690.1
OR2M2	ENST00000641836	NM_001004688.2
MYOC	ENST00000037502	NM_000261.2
GABRD	ENST00000378585	NM_000815.5
ZBTB17	ENST00000375743	NM_003443.3
SRARP	ENST00000329454	NM_178840.4
HSPB7	ENST00000311890	NM_014424.5
CLCNKA	ENST00000331433	NM_004070.4
FAM131C	ENST00000375662	NM_182623.3
OR2T8	ENST00000641945	NM_001005522.2
EFHD2	ENST00000375980	NM_024329.6
CTRC	ENST00000375949	NM_007272.3
OR6F1	ENST00000641470	NM_001005286.2
OR14K1	ENST00000283225	NM_001004732.2
OR10K1	ENST00000641535	NM_001004473.2
OR2T12	ENST00000641276	NM_001004692.2
OR2T33	ENST00000641220	NM_001004695.2
ZBTB8A	ENST00000373510	NM_001040441.3
ZBTB8OS	ENST00000468695	NM_178547.5
NRAS	ENST00000369535	NM_002524.5
SIKE1	ENST00000060969	NM_025073.3
OR2T29	ENST00000641069	NM_001004694.3
OR4F5	ENST00000641515	NM_001005484.2
OR2G6	ENST00000641804	NM_001013355.2
OR2T2	ENST00000641925	NM_001004136.2
OR13G1	ENST00000642119	NM_001005487.2
OR1C1	ENST00000641256	NM_012353.3
OR2M3	ENST00000641626	NM_001004689.2
OR2T10	ENST00000642090	NM_001004693.2
OR6N1	ENST00000641846	NM_001005185.2
OR2T11	ENST00000641193	NM_001001964.2
OR10Z1	ENST00000641002	NM_001004478.2
SPTA1	ENST00000643759	NM_003126.4
ZRANB2	ENST00000370920	NM_203350.3
CERS2	ENST00000368954	NM_022075.5
ANXA9	ENST00000368947	NM_003568.3
PRUNE1	ENST00000271620	NM_021222.3
BNIPL	ENST00000368931	NM_138278.4
C1orf56	ENST00000368926	NM_017860.5
CDC42SE1	ENST00000357235	NM_020239.4
MLLT11	ENST00000368921	NM_006818.4
IER5	ENST00000367577	NM_016545.5
SLC25A44	ENST00000359511	NM_014655.4
FH	ENST00000366560	NM_000143.4
KMO	ENST00000366559	NM_003679.5
OPN3	ENST00000366554	NM_014322.3
CHML	ENST00000366553	NM_001381853.1
ATAD3A	ENST00000378756	NM_001170535.3
SSU72	ENST00000291386	NM_014188.3
MIB2	ENST00000355826	NM_001170687.4
BCL9	ENST00000234739	NM_004326.4
EXO1	ENST00000366548	NM_130398.4
BECN2	ENST00000419583	NM_001290693.1
MAP1LC3C	ENST00000357246	NM_001004343.3
WDR64	ENST00000437684	NM_001367482.1
DYNLT5	ENST00000282670	NM_152665.3
DNAI4	ENST00000371026	NM_024763.5
SGIP1	ENST00000371037	NM_032291.4
LBR	ENST00000272163	NM_002296.4
DNAH14	ENST00000682510	NM_001367479.1
DCDC2B	ENST00000409358	NM_001099434.2
DYRK3	ENST00000367109	NM_003582.4
TNFSF18	ENST00000404377	NM_005092.4
MAP10	ENST00000418460	NM_019090.3
PLPPR4	ENST00000370185	NM_014839.5
TRIM67	ENST00000366653	NM_001004342.5
FPGT	ENST00000370898	NM_003838.5
CIMAP2	ENST00000371273	NM_001110533.2
RPRD2	ENST00000369068	NM_015203.5
OR2T4	ENST00000366473	NM_001004696.2
INSL5	ENST00000304526	NM_005478.6
ZNF124	ENST00000543802	NM_001297568.2
OR6P1	ENST00000641540	NM_001160325.2
FAM72C	ENST00000584486	NM_001287385.2
SLC2A7	ENST00000400906	NM_207420.3
OR6K2	ENST00000359610	NM_001005279.3
LCE4A	ENST00000368777	NM_001387222.1
ACTRT2	ENST00000378404	NM_080431.5
LDLRAD2	ENST00000344642	NM_001013693.3
HSPG2	ENST00000374695	NM_005529.7
CELA3B	ENST00000337107	NM_007352.4
CELA3A	ENST00000290122	NM_005747.5
WNT4	ENST00000290167	NM_030761.5
RHEX	ENST00000331555	NM_001007544.4
AVPR1B	ENST00000367126	NM_000707.5
FAM72A	ENST00000367128	NM_001123168.3
SRGAP2	ENST00000573034	NM_015326.5
IKBKE	ENST00000581977	NM_014002.4
RASSF5	ENST00000579436	NM_182663.4
EIF2D	ENST00000271764	NM_006893.3
CROCC	ENST00000375541	NM_014675.5
VASH2	ENST00000517399	NM_001301056.2
CYB5RL	ENST00000534324	NM_001031672.4
ATXN7L2	ENST00000683729	NM_001350175.2
CENPL	ENST00000682279	NM_001387287.1
ZNF496	ENST00000682384	NM_032752.3
RABGAP1L	ENST00000681986	NM_001366446.1
AMPD1	ENST00000520113	NM_000036.3
UBE2U	ENST00000371077	NM_001366232.2
CD101	ENST00000682167	NM_001256106.3
LCE1C	ENST00000607093	NM_178351.4
H3-7	ENST00000392948	NM_001372105.2
NPL	ENST00000367553	NM_030769.3
RCC1	ENST00000683442	NM_001381865.2
CRNN	ENST00000271835	NM_016190.3
LCE5A	ENST00000334269	NM_178438.5
CRCT1	ENST00000368790	NM_019060.3
LCE3E	ENST00000368789	NM_178435.4
LCE3D	ENST00000368787	NM_032563.2
TEKT2	ENST00000207457	NM_014466.3
ADPRS	ENST00000373178	NM_017825.3
COL8A2	ENST00000397799	NM_005202.4
TRAPPC3	ENST00000373166	NM_014408.5
MAP7D1	ENST00000474796	NM_001388490.1
ZNF362	ENST00000539719	NM_152493.3
A3GALT2	ENST00000442999	NM_001080438.1
S100A6	ENST00000368719	NM_014624.4
S100A4	ENST00000368716	NM_002961.3
S100A3	ENST00000368713	NM_002960.2
S100A2	ENST00000368708	NM_005978.4
S100A16	ENST00000368706	NM_080388.3
S100A14	ENST00000344616	NM_020672.3
S100A13	ENST00000476133	NM_001024211.2
S100A1	ENST00000292169	NM_006271.2
SNAPIN	ENST00000368685	NM_012437.6
SH3D21	ENST00000453908	NM_001162530.2
STK40	ENST00000373132	NM_001282547.2
LSM10	ENST00000315732	NM_032881.3
OSCP1	ENST00000235532	NM_145047.5
MRPS15	ENST00000373116	NM_031280.4
EVA1B	ENST00000490466	NM_001304762.2
ASCL5	ENST00000449188	NM_001270601.2
STX6	ENST00000258301	NM_005819.6
MR1	ENST00000367580	NM_001385161.1
TMED5	ENST00000370282	NM_016040.5
CCDC18	ENST00000690025	NM_001378204.1
TMEM269	ENST00000637012	NM_001354602.2
SVBP	ENST00000372521	NM_199342.4
GORAB	ENST00000367763	NM_152281.3
KDM1A	ENST00000400181	NM_001009999.3
LCE1B	ENST00000360090	NM_178349.2
LCE1A	ENST00000335123	NM_178348.2
LCE6A	ENST00000431011	NM_001128600.2
SMCP	ENST00000368765	NM_030663.3
IVL	ENST00000368764	NM_005547.4
SPRR4	ENST00000328051	NM_173080.3
SPRR3	ENST00000295367	NM_001097589.2
SPRR1B	ENST00000307098	NM_003125.3
SPRR2D	ENST00000360379	NM_006945.5
SPRR2A	ENST00000392653	NM_005988.3
SPRR2B	ENST00000368755	NM_001388198.1
SPRR2E	ENST00000368750	NM_001024209.4
SPRR2F	ENST00000468739	NM_001014450.3
SPRR2G	ENST00000368748	NM_001014291.4
CADM3	ENST00000368125	NM_001127173.3
OR10J1	ENST00000423932	NM_012351.3
FCER1A	ENST00000693622	NM_001387280.1
MYOM3	ENST00000374434	NM_152372.4
IL22RA1	ENST00000270800	NM_021258.4
IFNLR1	ENST00000327535	NM_170743.4
ELF3	ENST00000367284	NM_004433.5
LGR6	ENST00000367278	NM_001017403.2
PTPN7	ENST00000691036	NM_002832.4
SIPA1L2	ENST00000674635	NM_020808.5
SRSF4	ENST00000373795	NM_005626.5
MROH9	ENST00000367759	NM_001163629.2
FMO3	ENST00000367755	NM_001002294.3
FMO2	ENST00000209929	NM_001460.5
PEAR1	ENST00000292357	NM_001080471.3
ARHGEF11	ENST00000368194	NM_198236.3
ETV3L	ENST00000454449	NM_001004341.2
ETV3	ENST00000368192	NM_001145312.3
C1orf94	ENST00000488417	NM_001134734.2
CSMD2	ENST00000373381	NM_001281956.2
PMVK	ENST00000368467	NM_006556.4
PBXIP1	ENST00000368463	NM_020524.4
PYGO2	ENST00000368457	NM_138300.4
SHC1	ENST00000448116	NM_001130040.2
CKS1B	ENST00000308987	NM_001826.3
FLAD1	ENST00000292180	NM_025207.5
ZBTB7B	ENST00000535420	NM_001256455.2
DCST2	ENST00000368424	NM_144622.3
DCST1	ENST00000295542	NM_152494.4
ADAM15	ENST00000356955	NM_207197.3
MTMR11	ENST00000439741	NM_001145862.2
OTUD7B	ENST00000581312	NM_020205.4
FAM72D	ENST00000400889	NM_207418.3
ANKRD35	ENST00000355594	NM_144698.5
ITGA10	ENST00000369304	NM_003637.5
PEX11B	ENST00000369306	NM_003846.3
LIX1L	ENST00000604000	NM_153713.3
ANKRD34A	ENST00000606888	NM_001039888.4
POLR3GL	ENST00000369314	NM_032305.3
TXNIP	ENST00000582401	NM_006472.6
HJV	ENST00000336751	NM_213653.4
NBPF10	ENST00000583866	NM_001302371.3
TEX46	ENST00000566855	NM_001242521.2
AGBL4	ENST00000371839	NM_032785.4
BEND5	ENST00000371833	NM_024603.4
C1orf185	ENST00000371759	NM_001136508.2
ROR1	ENST00000371079	NM_005012.4
VAMP4	ENST00000236192	NM_003762.5
CFAP74	ENST00000682832	NM_001304360.2
NOTCH2NLC	ENST00000650865	NM_001364013.2
RALGPS2	ENST00000367635	NM_152663.5
ANGPTL1	ENST00000234816	NM_004673.4
FHAD1	ENST00000688493	NM_001391957.1
EIF4G3	ENST00000602326	NM_001391906.1
ITPKB	ENST00000429204	NM_002221.4
S100A11	ENST00000271638	NM_005620.2
TCHHL1	ENST00000368806	NM_001008536.2
RPTN	ENST00000316073	NM_001122965.1
HRNR	ENST00000368801	NM_001009931.3
NBPF15	ENST00000581897	NM_001385408.1
PIGV	ENST00000674202	NM_017837.4
ZDHHC18	ENST00000374142	NM_032283.3
SFN	ENST00000339276	NM_006142.5
GPN2	ENST00000374135	NM_018066.4
GPATCH3	ENST00000361720	NM_022078.3
NUDC	ENST00000321265	NM_006600.4
NR0B2	ENST00000254227	NM_021969.3
TRNP1	ENST00000522111	NM_001013642.3
TENT5B	ENST00000289166	NM_052943.4
CATSPER4	ENST00000456354	NM_198137.2
CEP85	ENST00000451429	NM_001319944.2
LIN28A	ENST00000326279	NM_024674.6
UBXN11	ENST00000374222	NM_001389556.1
PPP1R15B	ENST00000367188	NM_032833.5
DMRTB1	ENST00000371445	NM_033067.3
GLIS1	ENST00000628545	NM_001367484.1
NDC1	ENST00000371429	NM_018087.5
RGS7	ENST00000440928	NM_001364886.1
CNR2	ENST00000374472	NM_001841.3
PNRC2	ENST00000334351	NM_017761.4
SRSF10	ENST00000492112	NM_054016.4
GRHL3	ENST00000361548	NM_198173.3
METTL13	ENST00000361735	NM_015935.5
DNM3	ENST00000627582	NM_015569.5
PIGC	ENST00000344529	NM_153747.2
C1orf105	ENST00000367727	NM_139240.4
EFCAB2	ENST00000366523	NM_032328.4
H3-4	ENST00000366696	NM_003493.3
ABCA4	ENST00000370225	NM_000350.3
MDM4	ENST00000367182	NM_002393.5
ARID1A	ENST00000324856	NM_006015.6
WDR47	ENST00000369962	NM_001142551.2
PYCR2	ENST00000343818	NM_013328.4
SLAMF1	ENST00000302035	NM_003037.5
NRDC	ENST00000352171	NM_001101662.2
FAF1	ENST00000396153	NM_007051.3
PRRC2C	ENST00000647382	NM_001387844.1
IGSF9	ENST00000368094	NM_001135050.2
TARS2	ENST00000369064	NM_025150.5
TDRKH	ENST00000368824	NM_001083965.2
NBPF11	ENST00000682118	NM_001385469.3
NOTCH2	ENST00000256646	NM_024408.4
PATJ	ENST00000642238	NM_001350145.3
NPPA	ENST00000376480	NM_006172.4
KISS1	ENST00000367194	NM_002256.4
MAST2	ENST00000361297	NM_015112.3
PRKAA2	ENST00000371244	NM_006252.4
SEMA4A	ENST00000368285	NM_022367.4
CCNL2	ENST00000400809	NM_030937.6
KDF1	ENST00000320567	NM_152365.3
VTCN1	ENST00000369458	NM_024626.4
ZNF644	ENST00000337393	NM_201269.3
CYP4A22	ENST00000371891	NM_001010969.4
KLHL17	ENST00000338591	NM_198317.3
TRIM46	ENST00000334634	NM_025058.5
MEF2D	ENST00000348159	NM_005920.4
OPRD1	ENST00000234961	NM_000911.4
GBP5	ENST00000370459	NM_052942.5
DIRAS3	ENST00000646789	NM_004675.5
ELOA	ENST00000613537	NM_003198.3
HMGCL	ENST00000374490	NM_000191.3
FUCA1	ENST00000374479	NM_000147.5
HCRTR1	ENST00000403528	NM_001525.3
COL16A1	ENST00000373672	NM_001856.4
MYOCOS	ENST00000637642	NM_001391940.1
ALDH9A1	ENST00000354775	NM_000696.4
OR2B11	ENST00000641149	NM_001004492.2
OR6N2	ENST00000641131	NM_001005278.2
H3C15	ENST00000403683	NM_001005464.3
H2BC18	ENST00000369167	NM_001024599.5
H4C15	ENST00000579512	NM_001034077.4
H2AC19	ENST00000607355	NM_001040874.1
DCAF6	ENST00000367840	NM_001198956.2
H2AC18	ENST00000369159	NM_003516.3
H2BC21	ENST00000369155	NM_003528.3
H4C14	ENST00000578186	NM_003548.2
